figure,factor,curve_name,x_value,x_units,y_value,y_units,source_page,digitization_method,notes
Figure 3,KHe,E_prime_ksi=0.2,0.015352,tw/D,4653.320868,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.017103,tw/D,3916.98934,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.0175,tw/D,3778.69799,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.019514,tw/D,3138.257923,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.02,tw/D,2993.515046,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.021926,tw/D,2468.423263,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.022768,tw/D,2249.815017,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.024338,tw/D,1911.927727,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.025,tw/D,1793.592711,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.026749,tw/D,1530.749283,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.029161,tw/D,1235.588193,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.03,tw/D,1145.78382,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.031572,tw/D,986.758907,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.033377,tw/D,884.183821,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.033984,tw/D,835.361203,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.035,tw/D,799.537498,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.036396,tw/D,753.777481,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.038807,tw/D,680.692569,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.04,tw/D,647.032019,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.041219,tw/D,614.788896,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.04363,tw/D,555.544244,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.044454,tw/D,536.994762,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.045,tw/D,530.01545,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.046042,tw/D,516.697515,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.048453,tw/D,485.824367,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.05,tw/D,465.990229,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.050865,tw/D,454.895167,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.053277,tw/D,423.978181,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.055,tw/D,402.015428,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.055688,tw/D,393.243326,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.0581,tw/D,362.811862,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.06,tw/D,338.874442,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.060512,tw/D,332.430576,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.062923,tw/D,302.04929,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.065,tw/D,275.851875,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.065335,tw/D,271.56341,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.067746,tw/D,240.663299,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.07,tw/D,211.871511,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.070158,tw/D,209.854422,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.072569,tw/D,179.388275,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.074981,tw/D,149.696347,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.075,tw/D,149.467395,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.077393,tw/D,120.822363,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.079804,tw/D,92.655119,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control;uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.007281,tw/D,7639.088067,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control;uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.00792,tw/D,7191.417758,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.00825,tw/D,7004.511625,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.009698,tw/D,6313.475137,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.01,tw/D,6180.267296,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.012116,tw/D,5324.688028,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.0125,tw/D,5174.915097,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.014533,tw/D,4420.859687,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.015,tw/D,4253.231171,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.016951,tw/D,3524.583041,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.017018,tw/D,3500.000126,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.0175,tw/D,3343.972685,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.019368,tw/D,2797.32232,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.02,tw/D,2632.836699,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x;annex_control_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.021786,tw/D,2219.96873,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.023974,tw/D,1801.163775,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.024203,tw/D,1763.511074,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.025,tw/D,1639.56979,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.02662,tw/D,1420.64781,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.029038,tw/D,1152.988372,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.03,tw/D,1063.296027,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.031455,tw/D,940.071576,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.033873,tw/D,852.432054,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.034473,tw/D,833.207392,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.035,tw/D,799.537498,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.03629,tw/D,757.132559,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.038708,tw/D,683.569227,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.04,tw/D,647.032019,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.041125,tw/D,617.210687,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.043543,tw/D,557.583547,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.044454,tw/D,536.994762,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.045,tw/D,530.01545,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.04596,tw/D,517.743878,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.048377,tw/D,486.799337,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.05,tw/D,465.990229,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.050795,tw/D,455.79511,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.053212,tw/D,424.797913,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.055,tw/D,402.015428,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.05563,tw/D,393.988629,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
