figure,factor,curve_name,x_value,y_value,point_type,page_x_pdf_points,page_y_pdf_points,source_page,notes
Figure 3,KHe,E_prime_ksi=0.2,0.026749,1530.749283,uniform_sample,261.254664,294.32059,PDF page 19 / API page 13,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.029161,1235.588193,uniform_sample,274.359298,299.642345,PDF page 19 / API page 13,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.03,1145.78382,spreadsheet_x,278.92,301.261518,PDF page 19 / API page 13,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.031572,986.758907,uniform_sample,287.77525,304.128737,PDF page 19 / API page 13,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.033377,884.183821,endpoint/control,297.937969,306.979976,PDF page 19 / API page 13,point_type=endpoint/control | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.033984,835.361203,uniform_sample,301.357381,308.282563,PDF page 19 / API page 13,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.035,799.537498,spreadsheet_x,307.08,309.23834,PDF page 19 / API page 13,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.036396,753.777481,uniform_sample,314.799961,310.459217,PDF page 19 / API page 13,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.038807,680.692569,uniform_sample,328.140933,312.409122,PDF page 19 / API page 13,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.04,647.032019,spreadsheet_x,334.74,313.307186,PDF page 19 / API page 13,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.041219,614.788896,uniform_sample,341.36247,314.167432,PDF page 19 / API page 13,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.04363,555.544244,uniform_sample,354.467105,315.74808,PDF page 19 / API page 13,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.044454,536.994762,endpoint/control,358.942982,316.24298,PDF page 19 / API page 13,point_type=endpoint/control | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.045,530.01545,spreadsheet_x,361.953423,316.429188,PDF page 19 / API page 13,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.046042,516.697515,uniform_sample,367.697969,316.78451,PDF page 19 / API page 13,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.048453,485.824367,uniform_sample,381.014762,317.608206,PDF page 19 / API page 13,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.05,465.990229,spreadsheet_x,389.57,318.137381,PDF page 19 / API page 13,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.050865,454.895167,uniform_sample,394.355733,318.433397,PDF page 19 / API page 13,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.053277,423.978181,uniform_sample,407.691436,319.258262,PDF page 19 / API page 13,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.055,402.015428,spreadsheet_x,417.164829,319.844228,PDF page 19 / API page 13,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.055688,393.243326,uniform_sample,420.948579,320.078268,PDF page 19 / API page 13,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.0581,362.811862,uniform_sample,434.074857,320.89018,PDF page 19 / API page 13,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.06,338.874442,spreadsheet_x,444.4,321.52883,PDF page 19 / API page 13,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.060512,332.430576,uniform_sample,447.179491,321.700752,PDF page 19 / API page 13,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.062923,302.04929,uniform_sample,460.284125,322.511325,PDF page 19 / API page 13,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.065,275.851875,spreadsheet_x,471.584093,323.210272,PDF page 19 / API page 13,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.065335,271.56341,uniform_sample,473.433875,323.324688,PDF page 19 / API page 13,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.067746,240.663299,uniform_sample,486.762299,324.149103,PDF page 19 / API page 13,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.07,211.871511,spreadsheet_x,499.181321,324.917268,PDF page 19 / API page 13,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.070158,209.854422,uniform_sample,500.051371,324.971084,PDF page 19 / API page 13,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.072569,179.388275,uniform_sample,513.192609,325.783921,PDF page 19 / API page 13,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.074981,149.696347,uniform_sample,525.999896,326.576101,PDF page 19 / API page 13,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.075,149.467395,spreadsheet_x,526.098652,326.58221,PDF page 19 / API page 13,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.077393,120.822363,uniform_sample,538.454372,327.346459,PDF page 19 / API page 13,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.079804,92.655119,endpoint/control;uniform_sample,550.604004,328.097961,PDF page 19 / API page 13,point_type=endpoint/control;uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.007281,7639.088067,endpoint/control;uniform_sample,153.945999,182.377014,PDF page 19 / API page 13,point_type=endpoint/control;uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.00792,7191.417758,spreadsheet_x,157.54544,190.336592,PDF page 19 / API page 13,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.00825,7004.511625,spreadsheet_x,159.404,193.659783,PDF page 19 / API page 13,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.009698,6313.475137,uniform_sample,167.561051,206.45444,PDF page 19 / API page 13,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.01,6180.267296,spreadsheet_x,169.26,208.92145,PDF page 19 / API page 13,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.012116,5324.688028,uniform_sample,180.545624,224.435875,PDF page 19 / API page 13,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.0125,5174.915097,spreadsheet_x,182.595,227.136281,PDF page 19 / API page 13,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.014533,4420.859687,uniform_sample,193.440249,241.02147,PDF page 19 / API page 13,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.015,4253.231171,spreadsheet_x,195.93,244.127626,PDF page 19 / API page 13,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.016951,3524.583041,uniform_sample,206.91623,257.505868,PDF page 19 / API page 13,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.017018,3500.000126,endpoint/control,207.294982,257.954998,PDF page 19 / API page 13,point_type=endpoint/control | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.0175,3343.972685,spreadsheet_x,210.01,260.805619,PDF page 19 / API page 13,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.019368,2797.32232,uniform_sample,220.531308,270.89426,PDF page 19 / API page 13,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.02,2632.836699,spreadsheet_x;annex_control_x,224.09,273.981655,PDF page 19 / API page 13,point_type=spreadsheet_x;annex_control_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.021786,2219.96873,uniform_sample,233.967773,281.731187,PDF page 19 / API page 13,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.023974,1801.163775,endpoint/control,246.072011,289.445017,PDF page 19 / API page 13,point_type=endpoint/control | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.024203,1763.511074,uniform_sample,247.341107,290.123895,PDF page 19 / API page 13,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.025,1639.56979,spreadsheet_x,251.75,292.358557,PDF page 19 / API page 13,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.02662,1420.64781,uniform_sample,260.555634,296.30572,PDF page 19 / API page 13,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.029038,1152.988372,uniform_sample,273.692003,301.13162,PDF page 19 / API page 13,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.03,1063.296027,spreadsheet_x,278.92,302.748773,PDF page 19 / API page 13,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.031455,940.071576,uniform_sample,287.116588,304.970509,PDF page 19 / API page 13,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.033873,852.432054,uniform_sample,300.731666,307.827113,PDF page 19 / API page 13,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.034473,833.207392,endpoint/control,304.113006,308.340027,PDF page 19 / API page 13,point_type=endpoint/control | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.035,799.537498,spreadsheet_x,307.08,309.23834,PDF page 19 / API page 13,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.03629,757.132559,uniform_sample,314.217663,310.369703,PDF page 19 / API page 13,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.038708,683.569227,uniform_sample,327.590996,312.332373,PDF page 19 / API page 13,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.04,647.032019,spreadsheet_x,334.74,313.307186,PDF page 19 / API page 13,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.041125,617.210687,uniform_sample,340.854065,314.102819,PDF page 19 / API page 13,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.043543,557.583547,uniform_sample,353.990434,315.693671,PDF page 19 / API page 13,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.044454,536.994762,endpoint/control,358.942982,316.24298,PDF page 19 / API page 13,point_type=endpoint/control | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.045,530.01545,spreadsheet_x,361.953423,316.429188,PDF page 19 / API page 13,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.04596,517.743878,uniform_sample,367.246631,316.756593,PDF page 19 / API page 13,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.048377,486.799337,uniform_sample,380.594219,317.582194,PDF page 19 / API page 13,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.05,465.990229,spreadsheet_x,389.57,318.137381,PDF page 19 / API page 13,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.050795,455.79511,uniform_sample,393.967553,318.409386,PDF page 19 / API page 13,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.053212,424.797913,uniform_sample,407.337853,319.236392,PDF page 19 / API page 13,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.055,402.015428,spreadsheet_x,417.164829,319.844228,PDF page 19 / API page 13,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.05563,393.988629,uniform_sample,420.6271,320.058383,PDF page 19 / API page 13,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.058047,363.474894,uniform_sample,433.788865,320.87249,PDF page 19 / API page 13,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.06,338.874442,spreadsheet_x,444.4,321.52883,PDF page 19 / API page 13,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.060465,333.01991,uniform_sample,446.925288,321.685029,PDF page 19 / API page 13,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.062882,302.565051,uniform_sample,460.061657,322.497564,PDF page 19 / API page 13,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.065,275.851875,spreadsheet_x,471.584093,323.210272,PDF page 19 / API page 13,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.0653,272.012899,uniform_sample,473.239993,323.312696,PDF page 19 / API page 13,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.067717,241.037518,uniform_sample,486.600884,324.139119,PDF page 19 / API page 13,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.07,211.871511,spreadsheet_x,499.181321,324.917268,PDF page 19 / API page 13,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.070135,210.153235,uniform_sample,499.92248,324.963112,PDF page 19 / API page 13,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.072552,179.609243,uniform_sample,513.097296,325.778025,PDF page 19 / API page 13,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.074969,149.837883,uniform_sample,525.938846,326.572325,PDF page 19 / API page 13,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.075,149.467395,spreadsheet_x,526.098652,326.58221,PDF page 19 / API page 13,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.077387,120.89069,uniform_sample,538.4249,327.344636,PDF page 19 / API page 13,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.5,0.079804,92.655119,endpoint/control;uniform_sample,550.604004,328.097961,PDF page 19 / API page 13,point_type=endpoint/control;uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=1.0,0.006902,5755.188806,uniform_sample,151.810006,216.673946,PDF page 19 / API page 13,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=1.0,0.00693,5712.209285,endpoint/control,151.969985,217.448867,PDF page 19 / API page 13,point_type=endpoint/control | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=1.0,0.00738,5371.262654,spreadsheet_x,154.50416,223.596134,PDF page 19 / API page 13,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=1.0,0.00775,5191.631319,spreadsheet_x,156.588,226.834887,PDF page 19 / API page 13,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
